id,category_name,image,category_italian_name,sub_cat_name,sub_cat_name_italian,item_name,item_italian_name,item_price,description,description_it,item_image
1,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1646388078money.png,Giovani buongustai,Fasties,cibi grassi,French Fries (small),Patatine Fritte (piccole),65,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg
2,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,Giovani buongustai,Fasties,cibi grassi,Fresh Sauteed Calamari,Calamari Freschi Saltati,65,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1646388078money.png
3,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg,Giovani buongustai,Fasties,cibi grassi,Onion Rings,Anelli di cipolla,65,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg
4,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,Giovani buongustai,Fasties,cibi grassi,Mozzarella Sticks,Bastoncini di mozzarella,65,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg
5,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1646388078money.png,Giovani buongustai,Fasties,cibi grassi,World Famous Buffalo Bits,Bit di bufalo di fama mondiale,65,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download
6,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,Giovani buongustai,Fasties,cibi grassi,Chicken Wings,Ali di pollo,65,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg
7,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg,Giovani buongustai,Fasties,cibi grassi,Buffalo Wings,Ali di bufalo,65,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
8,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,Zuppe,Sip,sorso,Potato Skins,Bucce di patata,110,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download
9,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,Zuppe,Sip,sorso,Homemade Soup de Jour or,Zuppa de Jour fatta in casa o,110,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805845download
10,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,"Chowder (Red, White or Clear)","Chowder (rosso, bianco o trasparente)",110,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download
11,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,Zuppe,Sip,sorso,Cup...,Tazza...,110,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg
12,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805845download,Zuppe,Sip,sorso,Bowl,Ciotola,110,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg
13,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download,Panini,Sanwich,pane,Served w/ fries & pickles,Servito con patatine fritte e sottaceti,45,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg
14,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,Panini,Sanwich,pane,Real Turkey Breast,Vero petto di tacchino,45,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download
15,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg,Panini,Sanwich,pane,Grilled Chicken Breast.,Petto di pollo grigliato.,45,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg
16,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,Panini,Sanwich,pane,Bacon Cheeseburger.,Cheeseburger con pancetta.,45,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg
