id,category_name,image,category_italian_name,sub_cat_name,sub_cat_name_italian,item_name,item_italian_name,item_price,description,description_it,item_image
1,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,French Fries (small),Patatine Fritte (piccole),60,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
2,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,Fresh Sauteed Calamari,Calamari Freschi Saltati,150,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
3,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,Onion Rings,Anelli di cipolla,250,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
4,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,Mozzarella Sticks,Bastoncini di mozzarella,90,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due metà di un panino",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
5,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,World Famous Buffalo Bits,Bit di bufalo di fama mondiale,110,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
6,Young Foodies,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Giovani buongustai,Fasties,cibi grassi,new in youngfoodies,serg,80,When made with 100% mozzarella,"Se preparato con mozzarella al 100%, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
7,Mohali Special,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Speciale Mohali,Vegetarian,vegetariana,Banana Shake,Frullato di banana,112,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
8,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,Potato Skins,Bucce di patata,150.50,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
9,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,Homemade Soup de Jour or,Zuppa de Jour fatta in casa o,110,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
10,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,"Chowder (Red, White or Clear)","Chowder (rosso, bianco o trasparente)",110,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
11,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,Cup...,Tazza...,110,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
12,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Zuppe,Sip,sorso,Bowl,Ciotola,110,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
13,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Panini,Sanwich,pane,Served w/ fries & pickles,Servito con patatine fritte e sottaceti,45,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
14,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Panini,Sanwich,pane,Real Turkey Breast,Vero petto di tacchino,50.50,"Kids and adults alike enjoy the on-the-go pleasure of portable string cheese. But, more than that, from a health standpoint, it's a great, protein-packed snack. ","Sia i bambini che gli adulti si godono il piacere in movimento del formaggio a pasta filata portatile. Ma, più di questo, dal punto di vista della salute, è un ottimo spuntino ricco di proteine.",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
15,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Panini,Sanwich,pane,Grilled Chicken Breast.,Petto di pollo grigliato.,90.90,"When made with 100% mozzarella, string cheese is an unprocessed, natural snack choice with seven grams of protein per ounce","Se preparato con mozzarella al 100%, il formaggio a pasta filata è una scelta di snack naturale non trasformata con sette grammi di proteine ​​per oncia",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
16,SANDWICHES,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,Panini,Sanwich,pane,Bacon Cheeseburger.,Cheeseburger con pancetta.,4000,"The name itself has nothing to do with actual buffalo or bison, but instead, the credit goes to a small family-owned restaurant called Anchor Bar located in Buffalo, New York. It is known as the original place this tasty snack was first served.","Il nome stesso non ha nulla a che fare con un vero bufalo o bisonte, ma invece il merito va a un piccolo ristorante a conduzione familiare chiamato Anchor Bar situato a Buffalo, ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png
