id,category_name,image,category_italian_name,sub_cat_name,sub_cat_name_italian,item_name,item_italian_name,item_price,description,description_it,item_image
1,Appetizers,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648799453download (4).jpeg,Giovani buongustai,Veg,Veg1,French Fries,Patatine Fritte ,60,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648791932download (6).jfif
2,Appetizers,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648799453download (4).jpeg,Giovani buongustai,Non-Veg,Non veg1,Mazerella Caperese,,80,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648799453download (4).jpeg
3,Panini Breads,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805877download (5).jpeg,Speciale Mohali,Veg,Veg1,Fresh Sauteed Calamari,Calamari Freschi Saltati,150,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807905FRENCH FRY.jpeg
4,Panini Breads,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805877download (5).jpeg,Speciale Mohali,Non-Veg,Non-Veg1,Garden Salad,Insalata di giardino,90,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807806download (3).jpeg
5,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807806download (3).jpeg,Zuppe,Veg,Veg1,Onion Rings,Anelli di cipolla,250,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805877download (5).jpeg
6,Soups,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807806download (3).jpeg,Zuppe,Non-Veg,Non-Veg1,Hot tomatto soup,Zuppa di pomodoro calda,150,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango/1649073532afghani.jpeg
7,Pizza,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807905FRENCH FRY.jpeg,Panini,Veg,Veg1,Italian Pizza,Pizza Italiana,90,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download (2).jpeg
8,Pizza,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807905FRENCH FRY.jpeg,Panini,Non-Veg,Non-Veg1,Capsicum Pizza,Pizza ai peperoni,120,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango/1649071576download (12).jpeg
9,Wraps,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango/1649071576download (12).jpeg,Avvolge,Veg,Veg1,Mushroom Wrap,Impacco ai funghi,45,"a popular sandwich made from ground meats that are formed into a patty, cooked","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download (2).jpeg
10,Wraps,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango/1649071576download (12).jpeg,Avvolge,Non-Veg,Non-Veg1,Onion Mix Wrap,Impacco di cipolle,50,"a popular sandwich made from ground meats that are formed into a patty, cooked, and placed between two halves of a bun","un popolare panino a base di carne macinata che viene formata in una polpetta, cotta e posta tra due ",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango/1649071576download (12).jpeg
